"","GEOID","Domain","Index","Number","Percent","NAMELSAD","COUNTYFP","CountyName","Ordering","Label"
"1","51029930202","density","norm",0,17.845422430534,"Tract 9302.02","029","Buckingham",1,"Population Density"
"2","51029930202","room15","norm",0.09,0.2,"Tract 9302.02","029","Buckingham",1,">1.5 Ppl/Room"
"3","51029930202","nocar","norm",0.34,9.4,"Tract 9302.02","029","Buckingham",1,"No Car Access"
"4","51029930202","und6","norm",0.36,18.7,"Tract 9302.02","029","Buckingham",1,"Children Aged <6"
"5","51029930202","nobb","norm",0.75,36.8,"Tract 9302.02","029","Buckingham",1,"No Broadband"
"6","51029930202","nofood","norm",0.02,99.0159932469909,"Tract 9302.02","029","Buckingham",1,"Low Food Access"
"7","51029930202","index","norm",1.55,NA,"Tract 9302.02","029","Buckingham",1,"Composite Score"
"8","51029930202","density","rank",1,17.845422430534,"Tract 9302.02","029","Buckingham",1,"Population Density"
"9","51029930202","room15","rank",1.75,0.2,"Tract 9302.02","029","Buckingham",1,">1.5 Ppl/Room"
"10","51029930202","nocar","rank",7.98,9.4,"Tract 9302.02","029","Buckingham",1,"No Car Access"
"11","51029930202","und6","rank",7.1,18.7,"Tract 9302.02","029","Buckingham",1,"Children Aged <6"
"12","51029930202","nobb","rank",8.78,36.8,"Tract 9302.02","029","Buckingham",1,"No Broadband"
"13","51029930202","nofood","rank",2.98,99.0159932469909,"Tract 9302.02","029","Buckingham",1,"Low Food Access"
"14","51029930202","index","rank",4.46,NA,"Tract 9302.02","029","Buckingham",1,"Composite Score"
"15","51029930201","density","norm",0,56.3741519557033,"Tract 9302.01","029","Buckingham",1,"Population Density"
"16","51029930201","room15","norm",0.86,1.9,"Tract 9302.01","029","Buckingham",1,">1.5 Ppl/Room"
"17","51029930201","nocar","norm",0.2,5.5,"Tract 9302.01","029","Buckingham",1,"No Car Access"
"18","51029930201","und6","norm",0.37,19.2,"Tract 9302.01","029","Buckingham",1,"Children Aged <6"
"19","51029930201","nobb","norm",0.86,41.9,"Tract 9302.01","029","Buckingham",1,"No Broadband"
"20","51029930201","nofood","norm",0.09,99.0915207829516,"Tract 9302.01","029","Buckingham",1,"Low Food Access"
"21","51029930201","index","norm",2.39,NA,"Tract 9302.01","029","Buckingham",1,"Composite Score"
"22","51029930201","density","rank",3.14,56.3741519557033,"Tract 9302.01","029","Buckingham",1,"Population Density"
"23","51029930201","room15","rank",9.62,1.9,"Tract 9302.01","029","Buckingham",1,">1.5 Ppl/Room"
"24","51029930201","nocar","rank",6.59,5.5,"Tract 9302.01","029","Buckingham",1,"No Car Access"
"25","51029930201","und6","rank",7.25,19.2,"Tract 9302.01","029","Buckingham",1,"Children Aged <6"
"26","51029930201","nobb","rank",9.69,41.9,"Tract 9302.01","029","Buckingham",1,"No Broadband"
"27","51029930201","nofood","rank",5.12,99.0915207829516,"Tract 9302.01","029","Buckingham",1,"Low Food Access"
"28","51029930201","index","rank",6.14,NA,"Tract 9302.01","029","Buckingham",1,"Composite Score"
"29","51029930102","density","norm",0,33.5550904642283,"Tract 9301.02","029","Buckingham",1,"Population Density"
"30","51029930102","room15","norm",0,0,"Tract 9301.02","029","Buckingham",1,">1.5 Ppl/Room"
"31","51029930102","nocar","norm",0.16,4.4,"Tract 9301.02","029","Buckingham",1,"No Car Access"
"32","51029930102","und6","norm",0.54,26.1,"Tract 9301.02","029","Buckingham",1,"Children Aged <6"
"33","51029930102","nobb","norm",0.98,47.3,"Tract 9301.02","029","Buckingham",1,"No Broadband"
"34","51029930102","nofood","norm",0,99.0000000015412,"Tract 9301.02","029","Buckingham",1,"Low Food Access"
"35","51029930102","index","norm",1.68,NA,"Tract 9301.02","029","Buckingham",1,"Composite Score"
"36","51029930102","density","rank",1.76,33.5550904642283,"Tract 9301.02","029","Buckingham",1,"Population Density"
"37","51029930102","room15","rank",1,0,"Tract 9301.02","029","Buckingham",1,">1.5 Ppl/Room"
"38","51029930102","nocar","rank",5.5,4.4,"Tract 9301.02","029","Buckingham",1,"No Car Access"
"39","51029930102","und6","rank",8.78,26.1,"Tract 9301.02","029","Buckingham",1,"Children Aged <6"
"40","51029930102","nobb","rank",9.85,47.3,"Tract 9301.02","029","Buckingham",1,"No Broadband"
"41","51029930102","nofood","rank",1.76,99.0000000015412,"Tract 9301.02","029","Buckingham",1,"Low Food Access"
"42","51029930102","index","rank",4.36,NA,"Tract 9301.02","029","Buckingham",1,"Composite Score"
"43","51029930101","density","norm",0,28.56602456705,"Tract 9301.01","029","Buckingham",1,"Population Density"
"44","51029930101","room15","norm",0.36,0.8,"Tract 9301.01","029","Buckingham",1,">1.5 Ppl/Room"
"45","51029930101","nocar","norm",0.16,4.5,"Tract 9301.01","029","Buckingham",1,"No Car Access"
"46","51029930101","und6","norm",0.17,11,"Tract 9301.01","029","Buckingham",1,"Children Aged <6"
"47","51029930101","nobb","norm",0.78,38.2,"Tract 9301.01","029","Buckingham",1,"No Broadband"
"48","51029930101","nofood","norm",0,99.0000090792622,"Tract 9301.01","029","Buckingham",1,"Low Food Access"
"49","51029930101","index","norm",1.48,NA,"Tract 9301.01","029","Buckingham",1,"Composite Score"
"50","51029930101","density","rank",1.61,28.56602456705,"Tract 9301.01","029","Buckingham",1,"Population Density"
"51","51029930101","room15","rank",5.88,0.8,"Tract 9301.01","029","Buckingham",1,">1.5 Ppl/Room"
"52","51029930101","nocar","rank",5.66,4.5,"Tract 9301.01","029","Buckingham",1,"No Car Access"
"53","51029930101","und6","rank",2.22,11,"Tract 9301.01","029","Buckingham",1,"Children Aged <6"
"54","51029930101","nobb","rank",9.39,38.2,"Tract 9301.01","029","Buckingham",1,"No Broadband"
"55","51029930101","nofood","rank",2.07,99.0000090792622,"Tract 9301.01","029","Buckingham",1,"Low Food Access"
"56","51029930101","index","rank",3.25,NA,"Tract 9301.01","029","Buckingham",1,"Composite Score"
"57","51003011400","density","norm",0,45.0659225896534,"Tract 114","003","Albemarle",2,"Population Density"
"58","51003011400","room15","norm",0.55,1.2,"Tract 114","003","Albemarle",2,">1.5 Ppl/Room"
"59","51003011400","nocar","norm",0.09,2.6,"Tract 114","003","Albemarle",2,"No Car Access"
"60","51003011400","und6","norm",0.22,13.2,"Tract 114","003","Albemarle",2,"Children Aged <6"
"61","51003011400","nobb","norm",0.64,31.6,"Tract 114","003","Albemarle",2,"No Broadband"
"62","51003011400","nofood","norm",0.15,99.1452966827686,"Tract 114","003","Albemarle",2,"Low Food Access"
"63","51003011400","index","norm",1.65,NA,"Tract 114","003","Albemarle",2,"Composite Score"
"64","51003011400","density","rank",2.37,45.0659225896534,"Tract 114","003","Albemarle",2,"Population Density"
"65","51003011400","room15","rank",7,1.2,"Tract 114","003","Albemarle",2,">1.5 Ppl/Room"
"66","51003011400","nocar","rank",3.79,2.6,"Tract 114","003","Albemarle",2,"No Car Access"
"67","51003011400","und6","rank",3.59,13.2,"Tract 114","003","Albemarle",2,"Children Aged <6"
"68","51003011400","nobb","rank",8.47,31.6,"Tract 114","003","Albemarle",2,"No Broadband"
"69","51003011400","nofood","rank",5.42,99.1452966827686,"Tract 114","003","Albemarle",2,"Low Food Access"
"70","51003011400","index","rank",4,NA,"Tract 114","003","Albemarle",2,"Composite Score"
"71","51003011303","density","norm",0.12,1717.27900494297,"Tract 113.03","003","Albemarle",2,"Population Density"
"72","51003011303","room15","norm",0.23,0.5,"Tract 113.03","003","Albemarle",2,">1.5 Ppl/Room"
"73","51003011303","nocar","norm",0.02,0.5,"Tract 113.03","003","Albemarle",2,"No Car Access"
"74","51003011303","und6","norm",0.47,23.1,"Tract 113.03","003","Albemarle",2,"Children Aged <6"
"75","51003011303","nobb","norm",0,2.2,"Tract 113.03","003","Albemarle",2,"No Broadband"
"76","51003011303","nofood","norm",0.99,99.986252965568,"Tract 113.03","003","Albemarle",2,"Low Food Access"
"77","51003011303","index","norm",1.81,NA,"Tract 113.03","003","Albemarle",2,"Composite Score"
"78","51003011303","density","rank",7.25,1717.27900494297,"Tract 113.03","003","Albemarle",2,"Population Density"
"79","51003011303","room15","rank",2.88,0.5,"Tract 113.03","003","Albemarle",2,">1.5 Ppl/Room"
"80","51003011303","nocar","rank",1.78,0.5,"Tract 113.03","003","Albemarle",2,"No Car Access"
"81","51003011303","und6","rank",8.63,23.1,"Tract 113.03","003","Albemarle",2,"Children Aged <6"
"82","51003011303","nobb","rank",1,2.2,"Tract 113.03","003","Albemarle",2,"No Broadband"
"83","51003011303","nofood","rank",8.63,99.986252965568,"Tract 113.03","003","Albemarle",2,"Low Food Access"
"84","51003011303","index","rank",4.46,NA,"Tract 113.03","003","Albemarle",2,"Composite Score"
"85","51003011302","density","norm",0.28,4203.9799877462,"Tract 113.02","003","Albemarle",2,"Population Density"
"86","51003011302","room15","norm",0.64,1.4,"Tract 113.02","003","Albemarle",2,">1.5 Ppl/Room"
"87","51003011302","nocar","norm",0.22,6,"Tract 113.02","003","Albemarle",2,"No Car Access"
"88","51003011302","und6","norm",0.71,32.8,"Tract 113.02","003","Albemarle",2,"Children Aged <6"
"89","51003011302","nobb","norm",0.59,29.4,"Tract 113.02","003","Albemarle",2,"No Broadband"
"90","51003011302","nofood","norm",0.31,99.3088660337363,"Tract 113.02","003","Albemarle",2,"Low Food Access"
"91","51003011302","index","norm",2.74,NA,"Tract 113.02","003","Albemarle",2,"Composite Score"
"92","51003011302","density","rank",8.63,4203.9799877462,"Tract 113.02","003","Albemarle",2,"Population Density"
"93","51003011302","room15","rank",8.5,1.4,"Tract 113.02","003","Albemarle",2,">1.5 Ppl/Room"
"94","51003011302","nocar","rank",6.9,6,"Tract 113.02","003","Albemarle",2,"No Car Access"
"95","51003011302","und6","rank",9.69,32.8,"Tract 113.02","003","Albemarle",2,"Children Aged <6"
"96","51003011302","nobb","rank",8.02,29.4,"Tract 113.02","003","Albemarle",2,"No Broadband"
"97","51003011302","nofood","rank",6.49,99.3088660337363,"Tract 113.02","003","Albemarle",2,"Low Food Access"
"98","51003011302","index","rank",7.89,NA,"Tract 113.02","003","Albemarle",2,"Composite Score"
"99","51003011301","density","norm",0,57.0960663828428,"Tract 113.01","003","Albemarle",2,"Population Density"
"100","51003011301","room15","norm",0,0,"Tract 113.01","003","Albemarle",2,">1.5 Ppl/Room"
"101","51003011301","nocar","norm",0.01,0.4,"Tract 113.01","003","Albemarle",2,"No Car Access"
"102","51003011301","und6","norm",0.06,6.5,"Tract 113.01","003","Albemarle",2,"Children Aged <6"
"103","51003011301","nobb","norm",0.43,21.8,"Tract 113.01","003","Albemarle",2,"No Broadband"
"104","51003011301","nofood","norm",0.07,99.0657015646598,"Tract 113.01","003","Albemarle",2,"Low Food Access"
"105","51003011301","index","norm",0.57,NA,"Tract 113.01","003","Albemarle",2,"Composite Score"
"106","51003011301","density","rank",3.44,57.0960663828428,"Tract 113.01","003","Albemarle",2,"Population Density"
"107","51003011301","room15","rank",1,0,"Tract 113.01","003","Albemarle",2,">1.5 Ppl/Room"
"108","51003011301","nocar","rank",1.62,0.4,"Tract 113.01","003","Albemarle",2,"No Car Access"
"109","51003011301","und6","rank",1.15,6.5,"Tract 113.01","003","Albemarle",2,"Children Aged <6"
"110","51003011301","nobb","rank",5.73,21.8,"Tract 113.01","003","Albemarle",2,"No Broadband"
"111","51003011301","nofood","rank",4.2,99.0657015646598,"Tract 113.01","003","Albemarle",2,"Low Food Access"
"112","51003011301","index","rank",1.68,NA,"Tract 113.01","003","Albemarle",2,"Composite Score"
"113","51003011202","density","norm",0.01,94.7293070518399,"Tract 112.02","003","Albemarle",2,"Population Density"
