"","Domain","GEOID","CountyName","NAME","Label","Stat","Value"
"1","badegreeE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","% with Bachelors Degree","Estimate","45.2% of Adults"
"2","life_expE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Average Life Expectancy","Estimate","84.3 Years"
"3","hhincE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Median Household Income","Estimate","$ 92,083"
"4","badegreeE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","48.5% of Adults"
"5","life_expE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","77.3 Years"
"6","hhincE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 81,169"
"7","badegreeE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","67.2% of Adults"
"8","life_expE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","80.9 Years"
"9","hhincE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Median Household Income","Estimate","$122,045"
"10","badegreeE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","% with Bachelors Degree","Estimate","53.2% of Adults"
"11","life_expE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Average Life Expectancy","Estimate","81.9 Years"
"12","hhincE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Median Household Income","Estimate","$ 79,417"
"13","badegreeE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","42.3% of Adults"
"14","life_expE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","80.6 Years"
"15","hhincE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 78,808"
"16","badegreeE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","57.8% of Adults"
"17","life_expE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","83.7 Years"
"18","hhincE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","Median Household Income","Estimate","$105,809"
"19","badegreeE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","% with Bachelors Degree","Estimate","59.4% of Adults"
"20","life_expE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Average Life Expectancy","Estimate","82.8 Years"
"21","hhincE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Median Household Income","Estimate","$ 76,273"
"22","badegreeE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","49.5% of Adults"
"23","life_expE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","79.7 Years"
"24","hhincE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 59,781"
"25","badegreeE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","65.9% of Adults"
"26","life_expE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","80.2 Years"
"27","hhincE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Median Household Income","Estimate","$ 95,282"
"28","badegreeE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","% with Bachelors Degree","Estimate","35.6% of Adults"
"29","life_expE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Average Life Expectancy","Estimate","76.7 Years"
"30","hhincE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Median Household Income","Estimate","$ 52,262"
"31","badegreeE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","% with Bachelors Degree","Estimate","57.1% of Adults"
"32","life_expE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Average Life Expectancy","Estimate","82.6 Years"
"33","hhincE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Median Household Income","Estimate","$ 64,799"
"34","badegreeE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","92.4% of Adults"
"35","life_expE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","78.6 Years"
"36","hhincE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 36,042"
"37","badegreeE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","55.1% of Adults"
"38","life_expE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","NA Years"
"39","hhincE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Median Household Income","Estimate","$ 40,694"
"40","badegreeE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","% with Bachelors Degree","Estimate","58.1% of Adults"
"41","life_expE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Average Life Expectancy","Estimate","NA Years"
"42","hhincE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Median Household Income","Estimate","$  2,499"
"43","badegreeE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","% with Bachelors Degree","Estimate","79.5% of Adults"
"44","life_expE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Average Life Expectancy","Estimate","86.3 Years"
"45","hhincE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Median Household Income","Estimate","$146,100"
"46","badegreeE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","% with Bachelors Degree","Estimate","61.8% of Adults"
"47","life_expE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Average Life Expectancy","Estimate","80.7 Years"
"48","hhincE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Median Household Income","Estimate","$ 76,196"
"49","badegreeE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","49.6% of Adults"
"50","life_expE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","78.5 Years"
"51","hhincE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 76,184"
"52","badegreeE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","70.4% of Adults"
"53","life_expE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","87.1 Years"
"54","hhincE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","Median Household Income","Estimate","$121,910"
"55","badegreeE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","33.6% of Adults"
"56","life_expE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","84.1 Years"
"57","hhincE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 73,315"
"58","badegreeE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","42.7% of Adults"
"59","life_expE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","75.5 Years"
"60","hhincE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","Median Household Income","Estimate","$ 60,659"
"61","badegreeE","51003011303","Albemarle County","Census Tract 113.03, Albemarle County, Virginia","% with Bachelors Degree","Estimate","61.7% of Adults"
